_id,buyerId,platform,orderDate,deliveryDate,grossAmount,platformDiscount,netSales
699a17f60f2b000b285a3cd7,699a17f60f2b000b285a3c75,SHOPEE,2025-07-01,2025-07-06,2544.0,196.61,2347.39
699a17f60f2b000b285a3cb1,699a17f60f2b000b285a3c73,SHOPEE,2025-07-02,2025-07-05,898.0,0.0,898.0
699a17f60f2b000b285a3cb8,699a17f60f2b000b285a3c63,SHOPEE,2025-07-03,2025-07-09,449.0,0.0,449.0
699a17f60f2b000b285a3cca,699a17f60f2b000b285a3c75,LAZADA,2025-07-06,2025-07-12,798.0,65.11,732.89
699a17f60f2b000b285a3cd9,699a17f60f2b000b285a3c72,SHOPEE,2025-07-07,2025-07-12,898.0,0.0,898.0
699a17f60f2b000b285a3cdb,699a17f60f2b000b285a3c60,LAZADA,2025-07-07,2025-07-09,1197.0,0.0,1197.0
699a17f60f2b000b285a3ccd,699a17f60f2b000b285a3c5b,SHOPEE,2025-07-08,2025-07-15,399.0,0.0,399.0
699a17f60f2b000b285a3cbb,699a17f60f2b000b285a3c6d,LAZADA,2025-07-09,2025-07-13,1347.0,0.0,1347.0
699a17f60f2b000b285a3cbd,699a17f60f2b000b285a3c78,LAZADA,2025-07-09,2025-07-12,399.0,0.0,399.0
699a17f60f2b000b285a3cc5,699a17f60f2b000b285a3c79,SHOPEE,2025-07-09,2025-07-11,898.0,0.0,898.0
699a17f60f2b000b285a3cd2,699a17f60f2b000b285a3c60,SHOPEE,2025-07-09,2025-07-15,1197.0,74.94,1122.06
699a17f60f2b000b285a3cba,699a17f60f2b000b285a3c53,SHOPEE,2025-07-10,2025-07-17,1197.0,0.0,1197.0
699a17f60f2b000b285a3cc1,699a17f60f2b000b285a3c61,LAZADA,2025-07-11,2025-07-16,798.0,0.0,798.0
699a17f60f2b000b285a3cc3,699a17f60f2b000b285a3c65,LAZADA,2025-07-11,2025-07-15,998.0,0.0,998.0
699a17f60f2b000b285a3cd3,699a17f60f2b000b285a3c55,SHOPEE,2025-07-11,2025-07-17,1197.0,95.5,1101.5
699a17f60f2b000b285a3cd4,699a17f60f2b000b285a3c49,SHOPEE,2025-07-11,2025-07-17,898.0,0.0,898.0
699a17f60f2b000b285a3cb9,699a17f60f2b000b285a3c87,SHOPEE,2025-07-12,2025-07-16,1996.0,0.0,1996.0
699a17f60f2b000b285a3cc9,699a17f60f2b000b285a3c52,SHOPEE,2025-07-13,2025-07-20,1347.0,0.0,1347.0
699a17f60f2b000b285a3cdc,699a17f60f2b000b285a3c71,SHOPEE,2025-07-15,2025-07-22,1497.0,0.0,1497.0
699a17f60f2b000b285a3cda,699a17f60f2b000b285a3c48,LAZADA,2025-07-16,2025-07-18,2145.0,0.0,2145.0
699a17f60f2b000b285a3cc6,699a17f60f2b000b285a3c5a,SHOPEE,2025-07-17,2025-07-19,449.0,0.0,449.0
699a17f60f2b000b285a3cb3,699a17f60f2b000b285a3c6a,SHOPEE,2025-07-19,2025-07-26,998.0,0.0,998.0
699a17f60f2b000b285a3cb6,699a17f60f2b000b285a3c63,SHOPEE,2025-07-19,2025-07-25,449.0,20.52,428.48
699a17f60f2b000b285a3ccb,699a17f60f2b000b285a3c7d,LAZADA,2025-07-19,2025-07-25,1197.0,0.0,1197.0
699a17f60f2b000b285a3cd5,699a17f60f2b000b285a3c72,SHOPEE,2025-07-19,2025-07-26,898.0,0.0,898.0
699a17f60f2b000b285a3cd8,699a17f60f2b000b285a3c78,SHOPEE,2025-07-19,2025-07-26,449.0,33.9,415.1
699a17f60f2b000b285a3cc8,699a17f60f2b000b285a3c51,LAZADA,2025-07-20,2025-07-24,2395.0,0.0,2395.0
699a17f60f2b000b285a3cce,699a17f60f2b000b285a3c5a,SHOPEE,2025-07-20,2025-07-22,1347.0,151.56,1195.44
699a17f60f2b000b285a3cb7,699a17f60f2b000b285a3c4b,SHOPEE,2025-07-21,2025-07-25,1497.0,0.0,1497.0
699a17f60f2b000b285a3cb5,699a17f60f2b000b285a3c61,SHOPEE,2025-07-22,2025-07-25,1197.0,130.34,1066.66
699a17f60f2b000b285a3cbe,699a17f60f2b000b285a3c71,SHOPEE,2025-07-23,2025-07-26,798.0,53.46,744.54
699a17f60f2b000b285a3cc0,699a17f60f2b000b285a3c60,LAZADA,2025-07-24,2025-07-27,848.0,0.0,848.0
699a17f60f2b000b285a3cdd,699a17f60f2b000b285a3c4f,LAZADA,2025-07-25,2025-07-28,1347.0,0.0,1347.0
699a17f60f2b000b285a3cc7,699a17f60f2b000b285a3c5b,LAZADA,2025-07-26,2025-08-01,1197.0,0.0,1197.0
699a17f60f2b000b285a3cb0,699a17f60f2b000b285a3c60,LAZADA,2025-07-27,2025-07-29,898.0,70.16,827.84
699a17f60f2b000b285a3cc4,699a17f60f2b000b285a3c45,SHOPEE,2025-07-27,2025-08-02,449.0,0.0,449.0
699a17f60f2b000b285a3cb4,699a17f60f2b000b285a3c83,SHOPEE,2025-07-28,2025-08-03,399.0,0.0,399.0
699a17f60f2b000b285a3cc2,699a17f60f2b000b285a3c7c,SHOPEE,2025-07-28,2025-08-02,399.0,21.22,377.78
699a17f60f2b000b285a3cd0,699a17f60f2b000b285a3c7d,SHOPEE,2025-07-28,2025-07-30,2345.0,0.0,2345.0
